file,change_number,code_churn,owner_number,pre-release defect
atopcalcite/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableWindowBridge.java,0,0,0,0
atopcalcite/src/main/java/org/apache/calcite/prepare/CalcitePrepareImpl.java,0,0,0,0
atopcalcite/src/main/java/org/apache/calcite/prepare/OnlyPrepareEarlyAbortException.java,0,0,0,0
atopcalcite/src/main/java/org/apache/calcite/rel/rules/FilterJoinRule.java,0,0,0,0
atopcalcite/src/main/java/org/apache/calcite/rel/rules/OLAPJoinPushThroughJoinRule.java,0,0,0,0
atopcalcite/src/main/java/org/apache/calcite/rel/rules/OLAPJoinPushThroughJoinRule2.java,0,0,0,0
atopcalcite/src/main/java/org/apache/calcite/runtime/SqlFunctions.java,1,2238,1,1
atopcalcite/src/main/java/org/apache/calcite/sql/type/SqlTypeUtil.java,0,0,0,0
atopcalcite/src/main/java/org/apache/calcite/sql2rel/RelFieldTrimmer.java,0,0,0,0
atopcalcite/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java,0,0,0,0
atopcalcite/src/main/java/org/apache/calcite/tools/Programs.java,0,0,0,0
atopcalcite/src/main/java/org/apache/calcite/tools/RelUtils.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/BackwardCompatibilityConfig.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/debug/BackdoorToggles.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/exceptions/KylinTimeoutException.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/exceptions/ResourceLimitExceededException.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/exceptions/TooBigDictionaryException.java,1,34,1,1
core-common/src/main/java/org/apache/kylin/common/KylinConfig.java,4,50,2,1
core-common/src/main/java/org/apache/kylin/common/KylinConfigBase.java,15,279,9,1
core-common/src/main/java/org/apache/kylin/common/KylinConfigCannotInitException.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/KylinConfigExt.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/KylinVersion.java,2,4,1,1
core-common/src/main/java/org/apache/kylin/common/lock/DistributedLock.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/lock/DistributedLockFactory.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/common/Metrics.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/common/MetricsConstant.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/common/MetricsFactory.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/common/MetricsNameBuilder.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/common/MetricsScope.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/common/MetricsVariable.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/metrics2/CodahaleMetrics.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/metrics2/CodahaleReporter.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/metrics2/ConsoleMetricsReporter.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/metrics2/JmxMetricsReporter.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/metrics2/JsonFileMetricsReporter.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/metrics2/KylinObjectNameFactory.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/metrics2/Metrics2Reporter.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/metrics2/MetricsReporting.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/metrics2/MetricVariableRatioGauge.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/perflog/IPerfLogger.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/perflog/PerfLogger.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/perflog/PerfLoggerFactory.java,0,0,0,0
core-common/src/main/java/org/apache/kylin/common/metrics/perflog/SimplePerfLogger.java,0,0,0,0
